cbsa,metro,state,population,median_household_income,median_gross_rent
44100,"Springfield, IL",Illinois,205445,74534,944
27900,"Joplin, MO-KS",Missouri,204787,59686,857
16620,"Charleston, WV",West Virginia,203164,57993,862
41060,"St. Cloud, MN",Minnesota,202577,75427,1028
41100,"St. George, UT",Utah,202452,76411,1464
12220,"Auburn-Opelika, AL",Alabama,201585,59740,973
47580,"Warner Robins, GA",Georgia,200779,78967,1108
22500,"Florence, SC",South Carolina,199630,53764,898
26380,"Houma-Bayou Cane-Thibodaux, LA",Louisiana,198672,64159,973
39540,"Racine-Mount Pleasant, WI",Wisconsin,196613,75331,1017
13740,"Billings, MT",Montana,191435,74539,1066
20100,"Dover, DE",Delaware,189789,72872,1285
14540,"Bowling Green, KY",Kentucky,188840,62618,906
40980,"Saginaw, MI",Michigan,187782,58347,921
17660,"Coeur d'Alene, ID",Idaho,185010,77034,1330
49700,"Yuba City, CA",California,183670,74453,1292
28740,"Kingston, NY",New York,182333,81804,1335
33260,"Midland, TX",Texas,182324,93500,1377
27180,"Jackson, TN",Tennessee,181826,58713,946
10180,"Abilene, TX",Texas,181591,66239,1073
13980,"Blacksburg-Christiansburg-Radford, VA",Virginia,181428,65883,1040
39820,"Redding, CA",California,180366,71931,1267
26980,"Iowa City, IA",Iowa,180088,74297,1074
15500,"Burlington, NC",North Carolina,179165,64445,1007
20940,"El Centro, CA",California,179057,56393,1012
34740,"Muskegon-Norton Shores, MI",Michigan,176564,63495,960
24780,"Greenville, NC",North Carolina,175119,58851,971
20740,"Eau Claire, WI",Wisconsin,174873,72667,972
36780,"Oshkosh-Neenah, WI",Wisconsin,171735,72873,924
14010,"Bloomington, IL",Illinois,170441,78329,992
29100,"La Crosse-Onalaska, WI-MN",Wisconsin,170238,71191,971
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",Florida,169795,71049,1284
39380,"Pueblo, CO",Colorado,169422,62250,1059
45460,"Terre Haute, IN",Indiana,168787,55827,856
26820,"Idaho Falls, ID",Idaho,168322,77380,1054
47940,"Waterloo-Cedar Falls, IA",Iowa,168162,68806,931
28450,"Kenosha, WI",Wisconsin,167488,79412,1175
26140,"Homosassa Springs, FL",Florida,166696,55355,1069
36220,"Odessa, TX",Texas,164494,71031,1284
27500,"Janesville-Beloit, WI",Wisconsin,164278,74390,1019
27980,"Kahului-Wailuku, HI",Hawaii,164264,95072,1863
11200,"Amherst Town-Northampton, MA",Massachusetts,162502,86391,1332
14020,"Bloomington, IN",Indiana,160874,62865,1119
24300,"Grand Junction, CO",Colorado,159681,71485,1154
27100,"Jackson, MI",Michigan,159424,65004,958
19460,"Decatur, AL",Alabama,158635,63840,808
30860,"Logan, UT-ID",Utah,157887,77085,1107
16540,"Chambersburg, PA",Pennsylvania,157854,74946,1071
44300,"State College, PA",Pennsylvania,157795,72748,1181
45900,"Traverse City, MI",Michigan,156371,78247,1135
39660,"Rapid City, SD",South Dakota,155974,72095,1086
42140,"Santa Fe, NM",New Mexico,155956,74689,1318
25620,"Hattiesburg, MS",Mississippi,155740,59572,980
12620,"Bangor, ME",Maine,155312,63248,997
22520,"Florence-Muscle Shoals, AL",Alabama,155175,58200,814
33780,"Monroe, MI",Michigan,155045,75272,1017
20020,"Dothan, AL",Alabama,153349,56677,863
25260,"Hanford-Corcoran, CA",California,152682,68750,1228
47220,"Vineland, NJ",New Jersey,152326,64499,1254
35660,"Niles, MI",Michigan,152261,63152,923
48680,"Wildwood-The Villages, FL",Florida,151565,73297,1225
46660,"Valdosta, GA",Georgia,151118,54348,962
